DATA,CO_ID,CL_ID,CL_GENERO,CL_EC,CL_FHL,CL_SEG,PR_ID,PR_CAT,PR_NOME
2019-01-02,1000,534,M,4,1,C,67,BEBIDAS,REFRIGERANTE GUARANA
2019-01-02,1000,534,M,4,1,C,70,BEBIDAS,REFRIGERANTE OUTROS
2019-01-02,1000,534,M,4,1,C,178,HIGIENE,LENCO UMEDECIDO
2019-01-02,1000,534,M,4,1,C,4,ALIMENTOS,ABACAXI
2019-01-02,1000,534,M,4,1,C,175,LIMPEZA,LIMPADOR MULTIUSO
2019-01-02,1000,534,M,4,1,C,187,HIGIENE,HASTES FLEXIVEIS
2019-01-02,1000,534,M,4,1,C,163,ALIMENTOS,MORTADELA
2019-01-02,1000,534,M,4,1,C,11,ALIMENTOS,AZEITE
2019-01-02,1000,534,M,4,1,C,95,LIMPEZA,AMACIANTE
2019-01-02,1000,534,M,4,1,C,198,BEBIDAS,ENERGETICO
2019-01-02,1000,534,M,4,1,C,182,ALIMENTOS,LATA DE ERVILHA
2019-01-02,1000,534,M,4,1,C,86,HIGIENE,PRESERVATIVO
2019-01-02,1000,534,M,4,1,C,221,ALIMENTOS,BANANA
2019-01-02,1000,534,M,4,1,C,200,LIMPEZA,DETERGENTE
2019-01-02,1000,534,M,4,1,C,13,ALIMENTOS,BANANA
2019-01-02,1000,534,M,4,1,C,218,ALIMENTOS,BIFE DE COXAO MOLE
2019-01-02,1000,534,M,4,1,C,84,HIGIENE,PAPEL HIGIENICO
2019-01-02,1000,534,M,4,1,C,121,ALIMENTOS,UVA
2019-01-02,1000,534,M,4,1,C,176,LIMPEZA,LIMPA VIDROS
2019-01-02,1000,534,M,4,1,C,136,ALIMENTOS,RICOTA
2019-01-02,1000,534,M,4,1,C,108,LIMPEZA,REMOVEDOR
2019-01-02,1000,534,M,4,1,C,69,BEBIDAS,REFRIGERANTE LIMaO
2019-01-02,1000,534,M,4,1,C,143,BEBIDAS,REFRIGERANTE GUARANA
2019-01-02,1000,534,M,4,1,C,149,ALIMENTOS,QUEIJO MUSSARELA
2019-01-02,1000,534,M,4,1,C,61,ALIMENTOS,SARDINHA
2019-01-02,1000,534,M,4,1,C,64,ALIMENTOS,UVA
2019-01-02,1000,534,M,4,1,C,191,HIGIENE,FRALDA
2019-01-02,1000,534,M,4,1,C,189,ALIMENTOS,GRANOLA
2019-01-02,1000,534,M,4,1,C,135,LIMPEZA,RODO
2019-01-02,1000,534,M,4,1,C,226,ALIMENTOS,ARROZ INTEGRAL
2019-01-02,1000,534,M,4,1,C,209,ALIMENTOS,COGUMELOS
2019-01-02,1000,534,M,4,1,C,52,ALIMENTOS,PATE
2019-01-02,1000,534,M,4,1,C,160,ALIMENTOS,PALMITO
2019-01-02,1000,534,M,4,1,C,225,ALIMENTOS,ATUM
2019-01-02,1000,534,M,4,1,C,56,ALIMENTOS,QUEIJO MUSSARELA
2019-01-02,1000,534,M,4,1,C,123,LIMPEZA,TIRA MANCHA
2019-01-02,1000,534,M,4,1,C,25,ALIMENTOS,CORACAO DE FRANGO
2019-01-02,1000,534,M,4,1,C,229,ALIMENTOS,ALMONDEGA
2019-01-02,1000,534,M,4,1,C,155,ALIMENTOS,PATE
2019-01-02,1000,534,M,4,1,C,132,HIGIENE,SABONETE
2019-01-02,1000,534,M,4,1,C,23,ALIMENTOS,COGUMELOS
2019-01-02,1000,534,M,4,1,C,24,ALIMENTOS,COPA SUINA
2019-01-02,1000,534,M,4,1,C,183,ALIMENTOS,KETCHUP
2019-01-02,1000,534,M,4,1,C,66,BEBIDAS,REFRIGERANTE COLA
2019-01-02,1000,534,M,4,1,C,68,BEBIDAS,REFRIGERANTE LARANJA
2019-01-02,1000,534,M,4,1,C,88,HIGIENE,REPELENTE
2019-01-02,1040,279,M,1,2,B,38,ALIMENTOS,LEITE CONDENSADO
2019-01-02,1040,279,M,1,2,B,149,ALIMENTOS,QUEIJO MUSSARELA
2019-01-02,1040,279,M,1,2,B,94,LIMPEZA,ALCOOL
2019-01-02,1040,279,M,1,2,B,95,LIMPEZA,AMACIANTE
2019-01-02,1040,279,M,1,2,B,164,ACESSORIOS,MORDEDOR
2019-01-02,1040,279,M,1,2,B,75,HIGIENE,ESCOVA DE DENTE
2019-01-02,1040,279,M,1,2,B,145,PET,RACAO UMIDA PARA GATOS
2019-01-02,1040,279,M,1,2,B,48,ALIMENTOS,OVOS
2019-01-02,1040,279,M,1,2,B,43,ALIMENTOS,MAMAO PAPAYA
2019-01-02,1040,279,M,1,2,B,134,LIMPEZA,SABAO
2019-01-02,1040,279,M,1,2,B,19,ALIMENTOS,CAFE
2019-01-02,1040,279,M,1,2,B,105,LIMPEZA,LUSTRA MOVEIS
2019-01-02,1040,279,M,1,2,B,208,HIGIENE,CONDICIONADOR
2019-01-02,1040,279,M,1,2,B,60,ALIMENTOS,SALGADINHOS DE MILHO
2019-01-02,1040,279,M,1,2,B,180,ALIMENTOS,LEITE
2019-01-02,1078,290,F,1,0,B,145,PET,RACAO UMIDA PARA GATOS
2019-01-02,1078,290,F,1,0,B,144,BEBIDAS,REFRIGERANTE COLA
2019-01-02,1078,290,F,1,0,B,99,LIMPEZA,DESINFETANTE
2019-01-02,1078,290,F,1,0,B,23,ALIMENTOS,COGUMELOS
2019-01-02,1078,290,F,1,0,B,129,ALIMENTOS,SARDINHA
2019-01-02,1078,290,F,1,0,B,160,ALIMENTOS,PALMITO
2019-01-02,1078,290,F,1,0,B,210,ACESSORIOS,CHUPETA
2019-01-02,1078,290,F,1,0,B,192,HIGIENE,FIXADOR
2019-01-02,1078,290,F,1,0,B,6,ALIMENTOS,ALHO
2019-01-02,1078,290,F,1,0,B,125,HIGIENE,TINTURAS
2019-01-02,1078,290,F,1,0,B,156,HIGIENE,PASTA DE DENTE
2019-01-02,1078,290,F,1,0,B,116,PET,RACAO SECA PARA CAES
2019-01-02,1078,290,F,1,0,B,118,PET,RACAO UMIDA PARA CAES
2019-01-02,1078,290,F,1,0,B,107,#N/D,#N/D
2019-01-02,1078,290,F,1,0,B,81,HIGIENE,HIDRATANTE
2019-01-02,1078,290,F,1,0,B,93,LIMPEZA,AGUA SANITARIA
2019-01-02,1078,290,F,1,0,B,62,ALIMENTOS,SNACKS
2019-01-02,1078,290,F,1,0,B,13,ALIMENTOS,BANANA
2019-01-02,1078,290,F,1,0,B,56,ALIMENTOS,QUEIJO MUSSARELA
2019-01-02,1078,290,F,1,0,B,225,ALIMENTOS,ATUM
2019-01-02,1078,290,F,1,0,B,14,ALIMENTOS,BATATA
2019-01-02,1078,290,F,1,0,B,90,HIGIENE,SHAMPOO
2019-01-02,1078,290,F,1,0,B,84,HIGIENE,PAPEL HIGIENICO
2019-01-02,1078,290,F,1,0,B,113,LIMPEZA,TIRA MANCHA
2019-01-02,1078,290,F,1,0,B,36,ALIMENTOS,LATA DE MILHO
2019-01-02,1078,290,F,1,0,B,109,LIMPEZA,RODO
2019-01-02,1078,290,F,1,0,B,59,ALIMENTOS,SALGADINHO
2019-01-02,1078,290,F,1,0,B,215,ALIMENTOS,CAFE
2019-01-02,1078,290,F,1,0,B,150,ALIMENTOS,QUEIJO DE CABRA
